model,task,lang_a,lang_b,n_aligned,acc_a,acc_b,acc_diff,b_a_right_b_wrong,c_a_wrong_b_right,n_discordant,chi2,p_value,significant,direction,odds_ratio,cohens_h
gpt-oss-20b,code,de,hi,500,0.438,0.458,-0.02,30,40,70,1.1571,0.282059,False,Hindi > German,0.75,0.0402
gpt-oss-20b,code,ar,en,500,0.472,0.486,-0.014,14,21,35,1.0286,0.310494,False,English > Arabic,0.6667,0.028
gpt-oss-20b,code,es,hi,500,0.474,0.458,0.016,28,20,48,1.0208,0.312321,False,Spanish > Hindi,1.4,0.0321
gpt-oss-20b,code,ar,tr,500,0.472,0.456,0.016,29,21,50,0.98,0.322199,False,Arabic > Turkish,1.381,0.0321
gpt-oss-20b,code,de,tr,500,0.438,0.456,-0.018,33,42,75,0.8533,0.355611,False,Turkish > German,0.7857,0.0362
gpt-oss-20b,code,ar,fr,500,0.472,0.458,0.014,27,20,47,0.766,0.381471,False,Arabic > French,1.35,0.0281
gpt-oss-20b,code,en,es,500,0.486,0.474,0.012,21,15,36,0.6944,0.404657,False,English > Spanish,1.4,0.024
gpt-oss-20b,code,ar,hi,500,0.472,0.458,0.014,31,24,55,0.6545,0.418492,False,Arabic > Hindi,1.2917,0.0281
gpt-oss-20b,code,ko,zh,500,0.426,0.41,0.016,42,34,76,0.6447,0.422001,False,Korean > Chinese,1.2353,0.0324
gpt-oss-20b,code,sw,tr,500,0.468,0.456,0.012,37,31,68,0.3676,0.54429,False,Swahili > Turkish,1.1935,0.0241
gpt-oss-20b,code,de,ko,500,0.438,0.426,0.012,42,36,78,0.3205,0.5713,False,German > Korean,1.1667,0.0242
gpt-oss-20b,code,fr,sw,500,0.458,0.468,-0.01,26,31,57,0.2807,0.596242,False,Swahili > French,0.8387,0.0201
gpt-oss-20b,code,hi,sw,500,0.458,0.468,-0.01,30,35,65,0.2462,0.619796,False,Swahili > Hindi,0.8571,0.0201
gpt-oss-20b,code,en,fi,500,0.486,0.494,-0.008,17,21,38,0.2368,0.626496,False,Finnish > English,0.8095,0.016
gpt-oss-20b,code,es,sw,500,0.474,0.468,0.006,30,27,57,0.0702,0.791082,False,Spanish > Swahili,1.1111,0.012
gpt-oss-20b,code,fr,hi,500,0.458,0.458,0.0,28,28,56,0.0179,0.893695,False,tie,1.0,0.0
gpt-oss-20b,code,ar,sw,500,0.472,0.468,0.004,32,30,62,0.0161,0.89894,False,Arabic > Swahili,1.0667,0.008
gpt-oss-20b,code,ar,es,500,0.472,0.474,-0.002,23,24,47,0.0,1.0,False,Spanish > Arabic,0.9583,0.004
gpt-oss-20b,code,fr,tr,500,0.458,0.456,0.002,27,26,53,0.0,1.0,False,French > Turkish,1.0385,0.004
gpt-oss-20b,code,hi,tr,500,0.458,0.456,0.002,30,29,59,0.0,1.0,False,Hindi > Turkish,1.0345,0.004
llama3.1-8b,code,en,sw,500,0.386,0.244,0.142,82,11,93,52.6882,0.0,True,English > Swahili,7.4545,0.3075
llama3.1-8b,code,sw,zh,500,0.244,0.344,-0.1,25,75,100,24.01,1e-06,True,Chinese > Swahili,0.3333,0.2202
llama3.1-8b,code,de,en,500,0.294,0.386,-0.092,21,67,88,23.0114,2e-06,True,English > German,0.3134,0.1946
llama3.1-8b,code,fi,sw,500,0.342,0.244,0.098,77,28,105,21.9429,3e-06,True,Finnish > Swahili,2.75,0.216
llama3.1-8b,code,en,tr,500,0.386,0.3,0.086,64,21,85,20.7529,5e-06,True,English > Turkish,3.0476,0.1815
llama3.1-8b,code,en,hi,500,0.386,0.302,0.084,66,24,90,18.6778,1.5e-05,True,English > Hindi,2.75,0.1771
llama3.1-8b,code,es,sw,500,0.332,0.244,0.088,72,28,100,18.49,1.7e-05,True,Spanish > Swahili,2.5714,0.1948
llama3.1-8b,code,fr,sw,500,0.328,0.244,0.084,68,26,94,17.883,2.3e-05,True,French > Swahili,2.6154,0.1863
llama3.1-8b,code,en,ko,500,0.386,0.312,0.074,56,19,75,17.28,3.2e-05,True,English > Korean,2.9474,0.1555
llama3.1-8b,code,ar,en,500,0.298,0.386,-0.088,32,76,108,17.1204,3.5e-05,True,English > Arabic,0.4211,0.1859
llama3.1-8b,code,en,fr,500,0.386,0.328,0.058,52,23,75,10.4533,0.001224,True,English > French,2.2609,0.1212
llama3.1-8b,code,ko,sw,500,0.312,0.244,0.068,70,36,106,10.2736,0.001349,True,Korean > Swahili,1.9444,0.152
llama3.1-8b,code,sw,tr,500,0.244,0.3,-0.056,29,57,86,8.4767,0.003597,True,Turkish > Swahili,0.5088,0.126
llama3.1-8b,code,en,es,500,0.386,0.332,0.054,57,30,87,7.7701,0.005312,True,English > Spanish,1.9,0.1126
llama3.1-8b,code,hi,sw,500,0.302,0.244,0.058,68,39,107,7.3271,0.006792,True,Hindi > Swahili,1.7436,0.1304
llama3.1-8b,code,de,zh,500,0.294,0.344,-0.05,27,52,79,7.2911,0.00693,True,Chinese > German,0.5192,0.1074
llama3.1-8b,code,ar,sw,500,0.298,0.244,0.054,61,34,95,7.1158,0.007641,True,Arabic > Swahili,1.7941,0.1216
llama3.1-8b,code,de,sw,500,0.294,0.244,0.05,62,37,99,5.8182,0.015861,True,German > Swahili,1.6757,0.1129
llama3.1-8b,code,en,zh,500,0.386,0.344,0.042,45,24,69,5.7971,0.016053,True,English > Chinese,1.875,0.0873
llama3.1-8b,code,tr,zh,500,0.3,0.344,-0.044,29,51,80,5.5125,0.018881,True,Chinese > Turkish,0.5686,0.0942
llama3.1-8b,code,de,fi,500,0.294,0.342,-0.048,37,61,98,5.398,0.02016,True,Finnish > German,0.6066,0.1031
llama3.1-8b,code,ar,zh,500,0.298,0.344,-0.046,34,57,91,5.3187,0.021098,True,Chinese > Arabic,0.5965,0.0986
llama3.1-8b,code,en,fi,500,0.386,0.342,0.044,56,34,90,4.9,0.026857,True,English > Finnish,1.6471,0.0915
llama3.1-8b,code,hi,zh,500,0.302,0.344,-0.042,31,52,83,4.8193,0.028143,True,Chinese > Hindi,0.5962,0.0899
llama3.1-8b,code,fi,tr,500,0.342,0.3,0.042,58,37,95,4.2105,0.040174,True,Finnish > Turkish,1.5676,0.09
llama3.1-8b,code,ar,fi,500,0.298,0.342,-0.044,44,66,110,4.0091,0.045256,True,Finnish > Arabic,0.6667,0.0944
llama3.1-8b,code,fi,hi,500,0.342,0.302,0.04,63,43,106,3.4057,0.064973,False,Finnish > Hindi,1.4651,0.0856
llama3.1-8b,code,de,es,500,0.294,0.332,-0.038,42,61,103,3.1456,0.076131,False,Spanish > German,0.6885,0.082
llama3.1-8b,code,ko,zh,500,0.312,0.344,-0.032,28,44,72,3.125,0.0771,False,Chinese > Korean,0.6364,0.0682
llama3.1-8b,code,de,fr,500,0.294,0.328,-0.034,40,57,97,2.6392,0.104258,False,French > German,0.7018,0.0735
llama3.1-8b,code,es,tr,500,0.332,0.3,0.032,54,38,92,2.4457,0.117851,False,Spanish > Turkish,1.4211,0.0689
llama3.1-8b,code,ar,es,500,0.298,0.332,-0.034,45,62,107,2.3925,0.121917,False,Spanish > Arabic,0.7258,0.0732
llama3.1-8b,code,fi,ko,500,0.342,0.312,0.03,52,37,89,2.2022,0.13781,False,Finnish > Korean,1.4054,0.064
llama3.1-8b,code,fr,tr,500,0.328,0.3,0.028,49,35,84,2.0119,0.156069,False,French > Turkish,1.4,0.0603
llama3.1-8b,code,ar,fr,500,0.298,0.328,-0.03,43,58,101,1.9406,0.163604,False,French > Arabic,0.7414,0.0647
llama3.1-8b,code,es,hi,500,0.332,0.302,0.03,62,47,109,1.7982,0.179934,False,Spanish > Hindi,1.3191,0.0645
llama3.1-8b,code,fr,hi,500,0.328,0.302,0.026,52,39,91,1.5824,0.208413,False,French > Hindi,1.3333,0.056
llama3.1-8b,code,es,ko,500,0.332,0.312,0.02,48,38,86,0.9419,0.3318,False,Spanish > Korean,1.2632,0.0428
llama3.1-8b,code,de,ko,500,0.294,0.312,-0.018,40,49,89,0.7191,0.396439,False,Korean > German,0.8163,0.0392
llama3.1-8b,code,fr,zh,500,0.328,0.344,-0.016,34,42,76,0.6447,0.422001,False,Chinese > French,0.8095,0.0339
llama3.1-8b,code,fr,ko,500,0.328,0.312,0.016,43,35,78,0.6282,0.428014,False,French > Korean,1.2286,0.0343
llama3.1-8b,code,fi,fr,500,0.342,0.328,0.014,47,40,87,0.4138,0.520051,False,Finnish > French,1.175,0.0297
llama3.1-8b,code,ar,ko,500,0.298,0.312,-0.014,47,54,101,0.3564,0.550492,False,Korean > Arabic,0.8704,0.0304
llama3.1-8b,code,ko,tr,500,0.312,0.3,0.012,41,35,76,0.3289,0.56628,False,Korean > Turkish,1.1714,0.026
llama3.1-8b,code,es,zh,500,0.332,0.344,-0.012,45,51,96,0.2604,0.609834,False,Chinese > Spanish,0.8824,0.0254
llama3.1-8b,code,hi,ko,500,0.302,0.312,-0.01,39,44,83,0.1928,0.66062,False,Korean > Hindi,0.8864,0.0217
llama3.1-8b,code,es,fi,500,0.332,0.342,-0.01,48,53,101,0.1584,0.690619,False,Finnish > Spanish,0.9057,0.0212
llama3.1-8b,code,de,hi,500,0.294,0.302,-0.008,47,51,98,0.0918,0.761855,False,Hindi > German,0.9216,0.0175
llama3.1-8b,code,de,tr,500,0.294,0.3,-0.006,46,49,95,0.0421,0.837419,False,Turkish > German,0.9388,0.0131
llama3.1-8b,code,es,fr,500,0.332,0.328,0.004,44,42,86,0.0116,0.914128,False,Spanish > French,1.0476,0.0085
llama3.1-8b,code,ar,hi,500,0.298,0.302,-0.004,46,48,94,0.0106,0.91785,False,Hindi > Arabic,0.9583,0.0087
llama3.1-8b,code,ar,de,500,0.298,0.294,0.004,51,49,100,0.01,0.920344,False,Arabic > German,1.0408,0.0088
llama3.1-8b,code,ar,tr,500,0.298,0.3,-0.002,53,54,107,0.0,1.0,False,Turkish > Arabic,0.9815,0.0044
llama3.1-8b,code,fi,zh,500,0.342,0.344,-0.002,42,43,85,0.0,1.0,False,Chinese > Finnish,0.9767,0.0042
llama3.1-8b,code,hi,tr,500,0.302,0.3,0.002,45,44,89,0.0,1.0,False,Hindi > Turkish,1.0227,0.0044
llama3.3-70b,code,de,tr,500,0.994,0.932,0.062,33,2,35,25.7143,0.0,True,German > Turkish,16.5,0.3726
llama3.3-70b,code,en,tr,500,0.994,0.932,0.062,33,2,35,25.7143,0.0,True,English > Turkish,16.5,0.3726
llama3.3-70b,code,fr,tr,500,0.994,0.932,0.062,33,2,35,25.7143,0.0,True,French > Turkish,16.5,0.3726
llama3.3-70b,code,fi,tr,500,0.992,0.932,0.06,34,4,38,22.1316,3e-06,True,Finnish > Turkish,8.5,0.3485
llama3.3-70b,code,de,hi,500,0.994,0.942,0.052,28,2,30,20.8333,5e-06,True,German > Hindi,14.0,0.3314
llama3.3-70b,code,en,hi,500,0.994,0.942,0.052,28,2,30,20.8333,5e-06,True,English > Hindi,14.0,0.3314
llama3.3-70b,code,fr,hi,500,0.994,0.942,0.052,28,2,30,20.8333,5e-06,True,French > Hindi,14.0,0.3314
llama3.3-70b,code,fi,hi,500,0.992,0.942,0.05,29,4,33,17.4545,2.9e-05,True,Finnish > Hindi,7.25,0.3073
llama3.3-70b,code,en,sw,500,0.994,0.954,0.04,21,1,22,16.4091,5.1e-05,True,English > Swahili,21.0,0.2772
llama3.3-70b,code,de,sw,500,0.994,0.954,0.04,22,2,24,15.0417,0.000105,True,German > Swahili,11.0,0.2772
llama3.3-70b,code,fr,sw,500,0.994,0.954,0.04,22,2,24,15.0417,0.000105,True,French > Swahili,11.0,0.2772
llama3.3-70b,code,fi,sw,500,0.992,0.954,0.038,23,4,27,12.0,0.000532,True,Finnish > Swahili,5.75,0.2532
llama3.3-70b,code,ko,tr,500,0.976,0.932,0.044,30,8,38,11.6053,0.000658,True,Korean > Turkish,3.75,0.2165
llama3.3-70b,code,hi,ko,500,0.942,0.976,-0.034,4,21,25,10.24,0.001374,True,Korean > Hindi,0.1905,0.1754
llama3.3-70b,code,ar,de,500,0.966,0.994,-0.028,2,16,18,9.3889,0.002183,True,German > Arabic,0.125,0.2158
llama3.3-70b,code,ar,en,500,0.966,0.994,-0.028,2,16,18,9.3889,0.002183,True,English > Arabic,0.125,0.2158
llama3.3-70b,code,ar,fr,500,0.966,0.994,-0.028,2,16,18,9.3889,0.002183,True,French > Arabic,0.125,0.2158
llama3.3-70b,code,de,zh,500,0.994,0.968,0.026,15,2,17,8.4706,0.003609,True,German > Chinese,7.5,0.2046
llama3.3-70b,code,en,zh,500,0.994,0.968,0.026,15,2,17,8.4706,0.003609,True,English > Chinese,7.5,0.2046
llama3.3-70b,code,fr,zh,500,0.994,0.968,0.026,15,2,17,8.4706,0.003609,True,French > Chinese,7.5,0.2046
llama3.3-70b,code,es,tr,500,0.972,0.932,0.04,33,13,46,7.8478,0.005088,True,Spanish > Turkish,2.5385,0.1914
llama3.3-70b,code,tr,zh,500,0.932,0.968,-0.036,10,28,38,7.6053,0.00582,True,Chinese > Turkish,0.3571,0.1679
llama3.3-70b,code,ar,fi,500,0.966,0.992,-0.026,4,17,21,6.8571,0.008829,True,Finnish > Arabic,0.2353,0.1918
llama3.3-70b,code,de,es,500,0.994,0.972,0.022,13,2,15,6.6667,0.009823,True,German > Spanish,6.5,0.1812
llama3.3-70b,code,en,es,500,0.994,0.972,0.022,13,2,15,6.6667,0.009823,True,English > Spanish,6.5,0.1812
llama3.3-70b,code,es,fr,500,0.972,0.994,-0.022,2,13,15,6.6667,0.009823,True,French > Spanish,0.1538,0.1812
llama3.3-70b,code,ar,tr,500,0.966,0.932,0.034,28,11,39,6.5641,0.010406,True,Arabic > Turkish,2.5455,0.1567
llama3.3-70b,code,fi,zh,500,0.992,0.968,0.024,16,4,20,6.05,0.013906,True,Finnish > Chinese,4.0,0.1806
llama3.3-70b,code,de,ko,500,0.994,0.976,0.018,11,2,13,4.9231,0.0265,True,German > Korean,5.5,0.156
llama3.3-70b,code,en,ko,500,0.994,0.976,0.018,11,2,13,4.9231,0.0265,True,English > Korean,5.5,0.156
llama3.3-70b,code,fr,ko,500,0.994,0.976,0.018,11,2,13,4.9231,0.0265,True,French > Korean,5.5,0.156
llama3.3-70b,code,es,hi,500,0.972,0.942,0.03,28,13,41,4.7805,0.028784,True,Spanish > Hindi,2.1538,0.1502
llama3.3-70b,code,es,fi,500,0.972,0.992,-0.02,4,14,18,4.5,0.033895,True,Finnish > Spanish,0.2857,0.1571
llama3.3-70b,code,hi,zh,500,0.942,0.968,-0.026,10,23,33,4.3636,0.036714,True,Chinese > Hindi,0.4348,0.1267
llama3.3-70b,code,ar,hi,500,0.966,0.942,0.024,21,9,30,4.0333,0.04461,True,Arabic > Hindi,2.3333,0.1155
llama3.3-70b,code,fi,ko,500,0.992,0.976,0.016,12,4,16,3.0625,0.080118,False,Finnish > Korean,3.0,0.132
llama3.3-70b,code,ko,sw,500,0.976,0.954,0.022,22,11,33,3.0303,0.081723,False,Korean > Swahili,2.0,0.1212
llama3.3-70b,code,sw,tr,500,0.954,0.932,0.022,29,18,47,2.1277,0.144661,False,Swahili > Turkish,1.6111,0.0953
llama3.3-70b,code,es,sw,500,0.972,0.954,0.018,22,13,35,1.8286,0.176296,False,Spanish > Swahili,1.6923,0.0961
llama3.3-70b,code,sw,zh,500,0.954,0.968,-0.014,13,20,33,1.0909,0.29627,False,Chinese > Swahili,0.65,0.0726
llama3.3-70b,code,ar,ko,500,0.966,0.976,-0.01,8,13,21,0.7619,0.382733,False,Korean > Arabic,0.6154,0.0598
