model,task,target_lang,total,match,accuracy
gpt-oss-20b,commonsense,en,500,500,1.0
gpt-oss-20b,commonsense,es,500,500,1.0
gpt-oss-20b,commonsense,fi,500,488,0.976
gpt-oss-20b,commonsense,fr,499,498,0.9979959919839679
gpt-oss-20b,commonsense,hi,500,496,0.992
gpt-oss-20b,commonsense,ko,500,495,0.99
gpt-oss-20b,commonsense,sw,500,489,0.978
gpt-oss-20b,commonsense,sw,150,147,0.98
gpt-oss-20b,commonsense,tr,150,144,0.96
gpt-oss-20b,commonsense,zh,150,147,0.98
gpt-oss-20b,math,ar,150,150,1.0
gpt-oss-20b,math,de,150,150,1.0
gpt-oss-20b,math,en,150,150,1.0
gpt-oss-20b,math,es,150,150,1.0
gpt-oss-20b,math,fi,150,150,1.0
gpt-oss-20b,math,fr,150,150,1.0
gpt-oss-20b,math,hi,150,149,0.9933333333333333
gpt-oss-20b,math,ko,150,149,0.9933333333333333
gpt-oss-20b,math,sw,150,150,1.0
gpt-oss-20b,math,tr,150,150,1.0
gpt-oss-20b,math,zh,150,150,1.0
llama3.1-8b,code,ar,150,148,0.9866666666666667
llama3.1-8b,code,de,150,150,1.0
llama3.1-8b,code,en,150,149,0.9933333333333333
llama3.1-8b,code,es,150,150,1.0
llama3.1-8b,code,fi,150,150,1.0
llama3.1-8b,code,fr,150,150,1.0
llama3.1-8b,code,hi,150,145,0.9666666666666667
llama3.1-8b,code,ko,150,144,0.96
llama3.1-8b,code,sw,150,150,1.0
llama3.1-8b,code,tr,150,150,1.0
llama3.1-8b,code,zh,150,149,0.9933333333333333
llama3.1-8b,commonsense,ar,150,150,1.0
llama3.1-8b,commonsense,de,150,150,1.0
llama3.1-8b,commonsense,en,150,150,1.0
llama3.1-8b,commonsense,es,150,150,1.0
llama3.1-8b,commonsense,fi,150,150,1.0
llama3.1-8b,commonsense,fr,150,150,1.0
llama3.1-8b,commonsense,hi,150,150,1.0
llama3.1-8b,commonsense,ko,150,149,0.9933333333333333
llama3.1-8b,commonsense,sw,150,150,1.0
llama3.1-8b,commonsense,tr,150,150,1.0
llama3.1-8b,commonsense,zh,150,150,1.0
llama3.1-8b,math,ar,150,150,1.0
llama3.1-8b,math,de,150,150,1.0
llama3.1-8b,math,en,150,150,1.0
llama3.1-8b,math,es,150,150,1.0
llama3.1-8b,math,fi,150,150,1.0
llama3.1-8b,math,fr,150,150,1.0
llama3.1-8b,math,hi,150,148,0.9866666666666667
llama3.1-8b,math,ko,150,150,1.0
llama3.1-8b,math,sw,150,150,1.0
llama3.1-8b,math,tr,150,150,1.0
llama3.1-8b,math,zh,150,150,1.0
llama3.3-70b,code,ar,150,150,1.0
llama3.3-70b,code,de,150,150,1.0
llama3.3-70b,code,en,150,149,0.9933333333333333
llama3.3-70b,code,es,150,150,1.0
llama3.3-70b,code,fi,150,150,1.0
llama3.3-70b,code,fr,150,150,1.0
llama3.3-70b,code,hi,150,150,1.0
llama3.3-70b,code,ko,150,150,1.0
llama3.3-70b,code,sw,150,150,1.0
llama3.3-70b,code,tr,150,150,1.0
llama3.3-70b,code,zh,150,150,1.0
llama3.3-70b,commonsense,ar,150,150,1.0
llama3.3-70b,commonsense,de,150,150,1.0
llama3.3-70b,commonsense,en,150,150,1.0
llama3.3-70b,commonsense,es,150,150,1.0
llama3.3-70b,commonsense,fi,150,150,1.0
llama3.3-70b,commonsense,fr,150,150,1.0
llama3.3-70b,commonsense,hi,150,150,1.0
llama3.3-70b,commonsense,ko,150,150,1.0
llama3.3-70b,commonsense,sw,150,150,1.0
llama3.3-70b,commonsense,tr,150,150,1.0
llama3.3-70b,commonsense,zh,150,150,1.0
llama3.3-70b,math,ar,150,150,1.0
llama3.3-70b,math,de,150,150,1.0
llama3.3-70b,math,en,150,150,1.0
llama3.3-70b,math,es,150,150,1.0
llama3.3-70b,math,fi,150,150,1.0
llama3.3-70b,math,fr,150,150,1.0
llama3.3-70b,math,hi,150,150,1.0
llama3.3-70b,math,ko,150,149,0.9933333333333333
llama3.3-70b,math,sw,150,150,1.0
llama3.3-70b,math,tr,150,150,1.0
llama3.3-70b,math,zh,150,150,1.0
llama4-scout,code,ar,150,146,0.9733333333333334
llama4-scout,code,de,150,150,1.0
llama4-scout,code,en,150,148,0.9866666666666667
llama4-scout,code,es,150,149,0.9933333333333333
llama4-scout,code,fi,150,148,0.9866666666666667
llama4-scout,code,fr,150,150,1.0
llama4-scout,code,hi,150,144,0.96
llama4-scout,code,ko,150,135,0.9
llama4-scout,code,sw,150,150,1.0
llama4-scout,code,tr,150,150,1.0
llama4-scout,code,zh,150,136,0.9066666666666666
llama4-scout,commonsense,ar,150,150,1.0
llama4-scout,commonsense,de,150,150,1.0
llama4-scout,commonsense,en,150,150,1.0
llama4-scout,commonsense,es,150,149,0.9933333333333333
llama4-scout,commonsense,fi,150,145,0.9666666666666667
llama4-scout,commonsense,fr,150,150,1.0
llama4-scout,commonsense,hi,150,132,0.88
llama4-scout,commonsense,ko,150,138,0.92
llama4-scout,commonsense,sw,150,150,1.0
llama4-scout,commonsense,tr,150,149,0.9933333333333333
llama4-scout,commonsense,zh,150,110,0.7333333333333333
llama4-scout,math,ar,150,149,0.9933333333333333
llama4-scout,math,de,150,150,1.0
llama4-scout,math,en,150,150,1.0
llama4-scout,math,es,150,150,1.0
llama4-scout,math,fi,150,150,1.0
llama4-scout,math,fr,150,150,1.0
llama4-scout,math,hi,150,149,0.9933333333333333
llama4-scout,math,ko,150,150,1.0
llama4-scout,math,sw,150,150,1.0
llama4-scout,math,tr,150,150,1.0
llama4-scout,math,zh,150,146,0.9733333333333334
