model,task,lang_a,lang_b,n_aligned,acc_a,acc_b,acc_diff,b_a_right_b_wrong,c_a_wrong_b_right,n_discordant,chi2,p_value,significant,direction,odds_ratio,cohens_h
llama4-scout,code,de,en,500,0.426,0.354,0.072,61,25,86,14.2442,0.000161,True,German > English,2.44,0.1478
llama4-scout,code,en,tr,500,0.354,0.42,-0.066,30,63,93,11.0108,0.000906,True,Turkish > English,0.4762,0.1356
llama4-scout,code,en,ko,500,0.354,0.406,-0.052,36,62,98,6.3776,0.011557,True,Korean > English,0.5806,0.1072
llama4-scout,code,en,zh,500,0.354,0.33,0.024,56,44,100,1.21,0.271332,False,English > Chinese,1.2727,0.0506
llama4-scout,code,en,fi,500,0.354,0.36,-0.006,47,50,97,0.0412,0.839081,False,Finnish > English,0.94,0.0125
llama4-scout,code,en,hi,500,0.354,0.354,0.0,47,47,94,0.0106,0.91785,False,tie,1.0,0.0
llama4-scout,code,ar,en,500,0.356,0.354,0.002,54,53,107,0.0,1.0,False,Arabic > English,1.0189,0.0042
gpt-oss-120b,commonsense,ar,en,500,0.952,0.976,-0.024,3,15,18,6.7222,0.009522,True,English > Arabic,0.2,0.1307
gpt-oss-120b,commonsense,en,fi,500,0.976,0.97,0.006,3,0,3,1.3333,0.248213,False,English > Finnish,inf,0.0371
gpt-oss-120b,commonsense,en,hi,500,0.976,0.97,0.006,6,3,9,0.4444,0.504985,False,English > Hindi,2.0,0.0371
gpt-oss-120b,commonsense,en,tr,500,0.976,0.98,-0.004,2,4,6,0.1667,0.683091,False,Turkish > English,0.5,0.0273
gpt-oss-120b,commonsense,de,en,500,0.972,0.976,-0.004,3,5,8,0.125,0.723674,False,English > German,0.6,0.0252
gpt-oss-120b,commonsense,en,sw,500,0.976,0.976,0.0,4,4,8,0.125,0.723674,False,tie,1.0,0.0
gpt-oss-120b,commonsense,en,zh,500,0.976,0.972,0.004,6,4,10,0.1,0.75183,False,English > Chinese,1.5,0.0252
gpt-oss-120b,commonsense,en,es,500,0.976,0.978,-0.002,4,5,9,0.0,1.0,False,Spanish > English,0.8,0.0133
gpt-oss-120b,commonsense,en,fr,500,0.976,0.974,0.002,4,3,7,0.0,1.0,False,English > French,1.3333,0.0128
gpt-oss-120b,commonsense,en,ko,500,0.976,0.974,0.002,3,2,5,0.0,1.0,False,English > Korean,1.5,0.0128
gpt-oss-20b,commonsense,en,es,500,0.978,0.958,0.02,11,1,12,6.75,0.009375,True,English > Spanish,11.0,0.1151
gpt-oss-20b,commonsense,en,hi,500,0.978,0.956,0.022,13,2,15,6.6667,0.009823,True,English > Hindi,6.5,0.1249
gpt-oss-20b,commonsense,en,sw,500,0.978,0.96,0.018,10,1,11,5.8182,0.015861,True,English > Swahili,10.0,0.105
gpt-oss-20b,commonsense,en,tr,500,0.978,0.958,0.02,12,2,14,5.7857,0.016157,True,English > Turkish,6.0,0.1151
gpt-oss-20b,commonsense,en,ko,500,0.978,0.962,0.016,11,3,14,3.5,0.061369,False,English > Korean,3.6667,0.0946
gpt-oss-20b,commonsense,en,fi,500,0.978,0.964,0.014,9,2,11,3.2727,0.07044,False,English > Finnish,4.5,0.084
gpt-oss-20b,commonsense,ar,en,500,0.966,0.978,-0.012,3,9,12,2.0833,0.148915,False,English > Arabic,0.3333,0.0732
gpt-oss-20b,commonsense,en,zh,500,0.978,0.968,0.01,7,2,9,1.7778,0.182422,False,English > Chinese,3.5,0.062
gpt-oss-20b,commonsense,en,fr,500,0.978,0.97,0.008,6,2,8,1.125,0.288844,False,English > French,3.0,0.0504
gpt-oss-20b,commonsense,de,en,500,0.972,0.978,-0.006,3,6,9,0.4444,0.504985,False,English > German,0.5,0.0385
llama3.1-8b,commonsense,ar,en,500,0.818,0.934,-0.116,15,73,88,36.9205,0.0,True,English > Arabic,0.2055,0.3619
llama3.1-8b,commonsense,en,fi,500,0.934,0.718,0.216,116,8,124,92.3306,0.0,True,English > Finnish,14.5,0.6
llama3.1-8b,commonsense,en,hi,500,0.934,0.828,0.106,65,12,77,35.1169,0.0,True,English > Hindi,5.4167,0.3357
llama3.1-8b,commonsense,en,ko,500,0.934,0.798,0.136,82,14,96,46.7604,0.0,True,English > Korean,5.8571,0.4126
llama3.1-8b,commonsense,en,sw,500,0.934,0.736,0.198,110,11,121,79.3719,0.0,True,English > Swahili,10.0,0.5596
llama3.1-8b,commonsense,en,tr,500,0.934,0.822,0.112,74,18,92,32.8804,0.0,True,English > Turkish,4.1111,0.3514
llama3.1-8b,commonsense,en,fr,500,0.934,0.906,0.028,32,18,50,3.38,0.065992,False,English > French,1.7778,0.1036
llama3.1-8b,commonsense,en,zh,500,0.934,0.914,0.02,27,17,44,1.8409,0.174844,False,English > Chinese,1.5882,0.0756
llama3.1-8b,commonsense,de,en,500,0.916,0.934,-0.018,13,22,35,1.8286,0.176296,False,English > German,0.5909,0.0685
llama3.1-8b,commonsense,en,es,500,0.934,0.932,0.002,20,19,39,0.0,1.0,False,English > Spanish,1.0526,0.008
llama3.3-70b,commonsense,en,hi,500,0.986,0.954,0.032,16,0,16,14.0625,0.000177,True,English > Hindi,inf,0.1951
llama3.3-70b,commonsense,en,sw,500,0.986,0.976,0.01,6,1,7,2.2857,0.13057,False,English > Swahili,6.0,0.0739
llama3.3-70b,commonsense,ar,en,500,0.99,0.986,0.004,2,0,2,0.5,0.4795,False,Arabic > English,inf,0.0369
llama3.3-70b,commonsense,en,ko,500,0.986,0.982,0.004,3,1,4,0.25,0.617075,False,English > Korean,3.0,0.0319
llama3.3-70b,commonsense,de,en,500,0.982,0.986,-0.004,2,4,6,0.1667,0.683091,False,English > German,0.5,0.0319
llama3.3-70b,commonsense,en,es,500,0.986,0.982,0.004,4,2,6,0.1667,0.683091,False,English > Spanish,2.0,0.0319
llama3.3-70b,commonsense,en,fi,500,0.986,0.982,0.004,4,2,6,0.1667,0.683091,False,English > Finnish,2.0,0.0319
llama3.3-70b,commonsense,en,fr,500,0.986,0.984,0.002,3,2,5,0.0,1.0,False,English > French,1.5,0.0165
llama3.3-70b,commonsense,en,tr,500,0.986,0.984,0.002,2,1,3,0.0,1.0,False,English > Turkish,2.0,0.0165
llama3.3-70b,commonsense,en,zh,500,0.986,0.984,0.002,2,1,3,0.0,1.0,False,English > Chinese,2.0,0.0165
llama4-scout,commonsense,ar,en,500,0.98,0.774,0.206,105,2,107,97.2336,0.0,True,Arabic > English,52.5,0.707
llama4-scout,commonsense,de,en,500,0.984,0.774,0.21,108,3,111,97.4414,0.0,True,German > English,36.0,0.7372
llama4-scout,commonsense,en,es,500,0.774,0.988,-0.214,2,109,111,101.2252,0.0,True,Spanish > English,0.0183,0.7713
llama4-scout,commonsense,en,fi,500,0.774,0.98,-0.206,3,106,109,95.4495,0.0,True,Finnish > English,0.0283,0.707
llama4-scout,commonsense,en,fr,500,0.774,0.982,-0.208,3,107,110,96.4455,0.0,True,French > English,0.028,0.7217
llama4-scout,commonsense,en,hi,500,0.774,0.98,-0.206,4,107,111,93.7297,0.0,True,Hindi > English,0.0374,0.707
llama4-scout,commonsense,en,ko,500,0.774,0.972,-0.198,3,102,105,91.4667,0.0,True,Korean > English,0.0294,0.6546
llama4-scout,commonsense,en,sw,500,0.774,0.986,-0.212,2,108,110,100.2273,0.0,True,Swahili > English,0.0185,0.7536
llama4-scout,commonsense,en,tr,500,0.774,0.986,-0.212,2,108,110,100.2273,0.0,True,Turkish > English,0.0185,0.7536
llama4-scout,commonsense,en,zh,500,0.774,0.986,-0.212,2,108,110,100.2273,0.0,True,Chinese > English,0.0185,0.7536
gpt-oss-120b,math,en,sw,500,0.942,0.958,-0.016,2,10,12,4.0833,0.043308,True,Swahili > English,0.2,0.0736
gpt-oss-120b,math,en,fi,500,0.942,0.954,-0.012,1,7,8,3.125,0.0771,False,Finnish > English,0.1429,0.0541
gpt-oss-120b,math,en,ko,500,0.942,0.95,-0.008,3,7,10,0.9,0.342782,False,Korean > English,0.4286,0.0354
gpt-oss-120b,math,de,en,500,0.95,0.942,0.008,8,4,12,0.75,0.386476,False,German > English,2.0,0.0354
gpt-oss-120b,math,en,fr,500,0.942,0.95,-0.008,4,8,12,0.75,0.386476,False,French > English,0.5,0.0354
gpt-oss-120b,math,en,zh,500,0.942,0.938,0.004,7,5,12,0.0833,0.77283,False,English > Chinese,1.4,0.0168
gpt-oss-120b,math,en,tr,500,0.942,0.942,0.0,8,8,16,0.0625,0.802587,False,tie,1.0,0.0
gpt-oss-120b,math,ar,en,500,0.94,0.942,-0.002,7,8,15,0.0,1.0,False,English > Arabic,0.875,0.0085
gpt-oss-120b,math,en,es,500,0.942,0.94,0.002,7,6,13,0.0,1.0,False,English > Spanish,1.1667,0.0085
gpt-oss-120b,math,en,hi,500,0.942,0.94,0.002,6,5,11,0.0,1.0,False,English > Hindi,1.2,0.0085
gpt-oss-20b,math,en,zh,500,0.942,0.924,0.018,14,5,19,3.3684,0.066457,False,English > Chinese,2.8,0.0722
gpt-oss-20b,math,en,fi,500,0.942,0.93,0.012,10,4,14,1.7857,0.181449,False,English > Finnish,2.5,0.0491
gpt-oss-20b,math,en,ko,500,0.942,0.952,-0.01,2,7,9,1.7778,0.182422,False,Korean > English,0.2857,0.0447
gpt-oss-20b,math,de,en,500,0.934,0.942,-0.008,4,8,12,0.75,0.386476,False,English > German,0.5,0.0332
gpt-oss-20b,math,en,es,500,0.942,0.948,-0.006,4,7,11,0.3636,0.546494,False,Spanish > English,0.5714,0.0263
gpt-oss-20b,math,en,sw,500,0.942,0.948,-0.006,5,8,13,0.3077,0.5791,False,Swahili > English,0.625,0.0263
gpt-oss-20b,math,en,hi,500,0.942,0.946,-0.004,5,7,12,0.0833,0.77283,False,Hindi > English,0.7143,0.0174
gpt-oss-20b,math,en,tr,500,0.942,0.942,0.0,6,6,12,0.0833,0.77283,False,tie,1.0,0.0
gpt-oss-20b,math,en,fr,500,0.942,0.942,0.0,7,7,14,0.0714,0.789268,False,tie,1.0,0.0
gpt-oss-20b,math,ar,en,500,0.938,0.942,-0.004,7,9,16,0.0625,0.802587,False,English > Arabic,0.7778,0.0168
llama3.1-8b,math,en,fr,500,0.648,0.772,-0.124,41,103,144,25.8403,0.0,True,French > English,0.3981,0.2747
llama3.1-8b,math,en,fi,500,0.648,0.522,0.126,137,74,211,18.218,2e-05,True,English > Finnish,1.8514,0.2565
llama3.1-8b,math,en,zh,500,0.648,0.554,0.094,112,65,177,11.9548,0.000545,True,English > Chinese,1.7231,0.1923
llama3.1-8b,math,en,tr,500,0.648,0.562,0.086,103,60,163,10.8221,0.001003,True,English > Turkish,1.7167,0.1762
llama3.1-8b,math,de,en,500,0.724,0.648,0.076,92,54,146,9.3767,0.002198,True,German > English,1.7037,0.164
llama3.1-8b,math,ar,en,500,0.714,0.648,0.066,102,69,171,5.9883,0.014401,True,Arabic > English,1.4783,0.1418
llama3.1-8b,math,en,sw,500,0.648,0.586,0.062,95,64,159,5.6604,0.017352,True,English > Swahili,1.4844,0.1276
llama3.1-8b,math,en,es,500,0.648,0.6,0.048,59,35,94,5.6277,0.017679,True,English > Spanish,1.6857,0.0991
llama3.1-8b,math,en,hi,500,0.648,0.624,0.024,87,75,162,0.7469,0.387455,False,English > Hindi,1.16,0.0499
llama3.1-8b,math,en,ko,500,0.648,0.632,0.016,86,78,164,0.2988,0.584648,False,English > Korean,1.1026,0.0333
llama3.3-70b,math,en,es,500,0.936,0.894,0.042,27,6,33,12.1212,0.000499,True,English > Spanish,4.5,0.1517
llama3.3-70b,math,en,hi,500,0.936,0.906,0.03,24,9,33,5.9394,0.014806,True,English > Hindi,2.6667,0.1117
llama3.3-70b,math,en,zh,500,0.936,0.916,0.02,16,6,22,3.6818,0.055009,False,English > Chinese,2.6667,0.0766
llama3.3-70b,math,en,sw,500,0.936,0.916,0.02,17,7,24,3.375,0.066193,False,English > Swahili,2.4286,0.0766
llama3.3-70b,math,en,tr,500,0.936,0.916,0.02,19,9,28,2.8929,0.088973,False,English > Turkish,2.1111,0.0766
llama3.3-70b,math,en,ko,500,0.936,0.922,0.014,15,8,23,1.5652,0.210903,False,English > Korean,1.875,0.0546
llama3.3-70b,math,en,fi,500,0.936,0.926,0.01,14,9,23,0.6957,0.404248,False,English > Finnish,1.5556,0.0395
llama3.3-70b,math,ar,en,500,0.93,0.936,-0.006,9,12,21,0.1905,0.662521,False,English > Arabic,0.75,0.024
llama3.3-70b,math,en,fr,500,0.936,0.932,0.004,13,11,24,0.0417,0.838256,False,English > French,1.1818,0.0161
llama3.3-70b,math,de,en,500,0.932,0.936,-0.004,12,14,26,0.0385,0.844519,False,English > German,0.8571,0.0161
llama4-scout,math,de,en,500,0.664,0.884,-0.22,22,132,154,77.1494,0.0,True,English > German,0.1667,0.5415
llama4-scout,math,en,es,500,0.884,0.648,0.236,144,26,170,80.5235,0.0,True,English > Spanish,5.5385,0.5752
llama4-scout,math,ar,en,500,0.948,0.884,0.064,37,5,42,22.881,2e-06,True,Arabic > English,7.4,0.235
llama4-scout,math,en,hi,500,0.884,0.93,-0.046,11,34,45,10.7556,0.00104,True,Hindi > English,0.3235,0.1596
llama4-scout,math,en,tr,500,0.884,0.928,-0.044,12,34,46,9.587,0.00196,True,Turkish > English,0.3529,0.1518
llama4-scout,math,en,zh,500,0.884,0.928,-0.044,12,34,46,9.587,0.00196,True,Chinese > English,0.3529,0.1518
llama4-scout,math,en,fi,500,0.884,0.822,0.062,63,32,95,9.4737,0.002084,True,English > Finnish,1.9688,0.176
llama4-scout,math,en,ko,500,0.884,0.918,-0.034,19,36,55,4.6545,0.030971,True,Korean > English,0.5278,0.1142
llama4-scout,math,en,fr,500,0.884,0.912,-0.028,22,36,58,2.9138,0.087825,False,French > English,0.6111,0.0927
llama4-scout,math,en,sw,500,0.884,0.89,-0.006,32,35,67,0.0597,0.806968,False,Swahili > English,0.9143,0.019
